股票代码,股票简称,报告期,上下游关系比率,现金比率,核心利润率%,核心利润含金量
600456,宝钛股份,2016-09-30,0.51,0.06,-7.70,1.26
600458,时代新材,2016-09-30,0.70,0.09,2.11,0.06
600459,贵研铂业,2016-09-30,0.35,0.03,0.50,3.57
600460,士兰微,2016-09-30,0.50,0.07,1.88,7.08
600461,洪城水业,2016-09-30,2.05,0.15,11.26,1.45
600462,九有股份,2016-09-30,0.36,0.02,2.89,-20.27
600463,空港股份,2016-09-30,3.05,0.10,7.15,2.88
600466,蓝光发展,2016-09-30,13.43,0.32,4.64,-9.64
600467,好当家,2016-09-30,5.45,0.09,0.90,17.56
600468,百利电气,2016-09-30,0.32,0.05,2.21,-4.48
600469,风神股份,2016-09-30,1.41,0.00,6.05,1.84
600470,六国化工,2016-09-30,5.96,0.14,-4.21,-0.99
600472,包头铝业,2007-09-30,1.17,0.00,14.69,1.37
600475,华光股份,2016-09-30,1.49,0.22,6.29,0.00
600476,湘邮科技,2016-09-30,0.63,0.01,-3.65,7.78
600477,杭萧钢构,2016-09-30,2.38,0.04,13.30,1.41
600478,科力远,2016-09-30,2.28,0.09,-9.79,-0.55
600479,千金药业,2016-09-30,0.72,0.08,4.42,1.88
600480,凌云股份,2016-09-30,0.69,0.12,6.07,-0.36
600481,双良节能,2016-09-30,0.70,0.00,11.72,0.07
600482,中国动力,2016-09-30,1.18,0.31,5.74,0.13
600483,福能股份,2016-09-30,0.68,0.06,20.14,1.52
600485,信威集团,2016-09-30,0.10,0.00,60.46,-1.68
600486,扬农化工,2016-09-30,1.11,0.08,15.58,0.53
600487,亨通光电,2016-09-30,0.69,0.07,8.86,0.03
600488,天药股份,2016-09-30,0.51,0.08,6.45,1.46
600489,中金黄金,2016-09-30,3.65,0.08,3.30,3.54
