报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
负债合计,69065.46,66266.0,73050.64,106169.61,133496.6,147493.78,158557.48,177069.97,163603.79,155231.77,176046.51,253477.55,216300.15,309009.5,466574.68,548932.81,493914.33,523464.07,538665.93
实收资本(或股本),33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,41250.0,41250.0,41250.0,41250.0,42814.1,42814.1,42789.1,42789.1,43021.6,43008.88,60212.75,60181.24
资本公积,10298.34,10298.34,10298.34,10298.34,10336.65,10336.65,10336.65,198197.64,198197.64,198163.77,198163.77,241220.41,243680.17,245449.23,226755.19,232279.87,233564.48,217989.64,219047.15
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41761.47,41761.47,39616.43,39616.43,45416.18,45086.05,32330.92,34446.11
其他综合收益,0.0,-798.69,-917.11,-936.34,-952.11,-976.39,74.85,-30.16,-22.69,-28.24,-23.43,-14.64,-39.63,-896.96,-1554.71,-10319.24,-5583.54,-2778.51,2768.45
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,3686.24,7050.39,10379.37,11564.87,19442.48,19442.48,19442.48,22555.5,22555.5,22555.5,22555.5,30153.93,30153.93,30153.93,30153.93,31311.72,31311.72,31311.72,31311.72
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,10727.08,21343.22,34377.29,45628.84,41082.43,54588.4,69345.57,81774.56,100559.43,91698.27,114900.36,127545.68,154389.66,134718.83,165022.21,184291.94,213623.03,197163.31,231315.06
归属于母公司股东权益合计,56866.66,70893.26,87137.9,99555.71,102909.44,116391.13,132199.55,343747.53,362539.88,353639.29,376846.2,399958.01,429236.77,412597.7,456130.15,467750.58,503416.57,504142.57,542751.22
少数股东权益,0.0,0.0,-172.34,880.55,793.6,1431.65,1714.72,1146.58,1534.16,2628.01,3582.65,2656.58,3718.26,4514.44,15546.27,33319.6,33575.86,35749.56,38441.31
所有者权益(或股东权益)合计,56866.66,70893.26,86965.56,100436.26,103703.03,117822.79,133914.27,344894.12,364074.03,356267.3,380428.85,402614.6,432955.03,417112.14,471676.43,501070.17,536992.42,539892.13,581192.53
负债和所有者权益(或股东权益)总计,125932.13,137159.27,160016.2,206605.88,237199.64,265316.57,292471.75,521964.08,527677.82,511499.08,556475.36,656092.15,649255.18,726121.65,938251.1,1050002.99,1030906.75,1063356.2,1119858.46
