股票代码,股票名称,交易所
977,浪潮信息,深圳
978,桂林旅游,深圳
980,众泰汽车,深圳
981,ST银亿,深圳
982,*ST中绒,深圳
983,西山煤电,深圳
985,大庆华科,深圳
987,越秀金控,深圳
988,华工科技,深圳
989,九芝堂,深圳
990,诚志股份,深圳
993,闽东电力,深圳
995,*ST皇台,深圳
996,中国中期,深圳
997,新大陆,深圳
998,隆平高科,深圳
999,华润三九,深圳
1696,宗申动力,深圳
1872,招商港口,深圳
1896,豫能控股,深圳
1914,招商积余,深圳
1965,招商公路,深圳
1979,招商蛇口,深圳
2001,新和成,深圳
2002,鸿达兴业,深圳
2003,伟星股份,深圳
2004,华邦健康,深圳
2005,*ST德豪,深圳
2006,精功科技,深圳
2007,华兰生物,深圳
2008,大族激光,深圳
2009,天奇股份,深圳
2010,传化智联,深圳
2011,盾安环境,深圳
2012,凯恩股份,深圳
2013,中航机电,深圳
2014,永新股份,深圳
2015,协鑫能科,深圳
2016,世荣兆业,深圳
2017,东信和平,深圳
2019,亿帆医药,深圳
2020,京新药业,深圳
2021,*ST中捷,深圳
2022,科华生物,深圳
2023,海特高新,深圳
2024,苏宁易购,深圳
2025,航天电器,深圳
2026,山东威达,深圳
2027,分众传媒,深圳
2028,思源电气,深圳
2029,七匹狼,深圳
2030,达安基因,深圳
2031,巨轮智能,深圳
2032,苏泊尔,深圳
2033,丽江股份,深圳
2034,旺能环境,深圳
2035,华帝股份,深圳
2036,联创电子,深圳
2037,保利联合,深圳
2038,双鹭药业,深圳
2039,黔源电力,深圳
2040,南京港,深圳
2041,登海种业,深圳
2042,华孚时尚,深圳
2043,兔宝宝,深圳
2044,美年健康,深圳
2045,国光电器,深圳
2046,轴研科技,深圳
2047,宝鹰股份,深圳
2048,宁波华翔,深圳
2049,紫光国微,深圳
2050,三花智控,深圳
2051,中工国际,深圳
2052,*ST同洲,深圳
2053,云南能投,深圳
2054,德美化工,深圳
2055,得润电子,深圳
2056,横店东磁,深圳
2057,中钢天源,深圳
2058,威尔泰,深圳
2059,云南旅游,深圳
2060,粤水电,深圳
2061,浙江交科,深圳
2062,宏润建设,深圳
2063,远光软件,深圳
2064,华峰氨纶,深圳
2065,东华软件,深圳
2066,瑞泰科技,深圳
2067,景兴纸业,深圳
2068,黑猫股份,深圳
2069,獐子岛,深圳
2071,长城影视,深圳
2072,*ST凯瑞,深圳
2073,软控股份,深圳
2074,国轩高科,深圳
2075,沙钢股份,深圳
2076,*ST雪莱,深圳
2077,*ST大港,深圳
2078,太阳纸业,深圳
2079,苏州固锝,深圳
2080,中材科技,深圳
2081,金螳螂,深圳
2082,万邦德,深圳
2083,孚日股份,深圳
2084,海鸥住工,深圳
2085,万丰奥威,深圳
2086,ST东海洋,深圳
2087,新野纺织,深圳
2088,鲁阳节能,深圳
2089,*ST新海,深圳
2090,金智科技,深圳
2091,江苏国泰,深圳
2092,中泰化学,深圳
2093,国脉科技,深圳
2094,青岛金王,深圳
2095,生意宝,深圳
2096,南岭民爆,深圳
2097,山河智能,深圳
2098,浔兴股份,深圳
2099,海翔药业,深圳
2100,天康生物,深圳
2101,广东鸿图,深圳
2102,ST冠福,深圳
2103,广博股份,深圳
2104,恒宝股份,深圳
2105,信隆健康,深圳
2106,莱宝高科,深圳
