科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
未分配利润,"14,133,303.22","72,758,625.06","87,895,768.61","122,468,693.77","180,639,094.17","227,297,821.18","195,823,145.68","235,281,977.73","276,573,824.49","317,345,501.17","219,432,485.14","258,025,006.98","307,031,324.02","351,092,674.63","236,752,296.21","272,311,288.95","346,080,653.66","398,781,527.48","271,350,593.53","330,764,683.84","416,225,295.69","470,307,613.47","351,454,791.35","410,192,883.55","493,698,499.97","561,264,917.70","476,136,018.54","537,223,723.22","636,140,916.79","735,332,407.21","664,175,890.04","760,891,466.61"
长期待摊费用,"2,941,669.67","2,157,999.02","3,898,969.17","2,885,581.26","1,817,753.12","1,290,823.26","790,986.77","321,683.87","5,288,899.98","8,459,209.44","3,018,753.22","2,538,734.43","5,376,781.12","11,642,684.95","10,360,853.28","20,189,443.09","21,199,774.32","20,974,127.33","20,221,233.78","17,728,433.74","15,099,621.37","28,202,804.40","24,114,443.72","24,531,355.32","27,730,567.69","32,662,529.77","37,983,516.28","33,598,721.44","34,936,446.29","41,018,850.62","40,098,760.88","38,394,203.05"
少数股东权益,"9,487,268.79","8,520,617.77","8,316,242.11","8,782,323.58","8,655,464.66","8,688,306.00","8,015,208.03","8,019,171.12","8,036,183.22","7,968,156.64","7,898,930.04","7,625,883.33","7,470,537.29","7,340,925.60","7,313,890.09","7,279,306.65","6,833,485.82","6,800,431.76","6,706,204.68","6,691,528.97","10,091,865.99","10,204,863.22","10,124,704.03","9,831,698.10","10,602,776.88","11,160,229.49","3,612,918.82","10,417,617.73","4,687,537.20","5,201,360.97","5,715,520.47","4,874,295.35"
递延所得税资产,"976,399.14","1,417,280.99","2,004,119.92","3,657,922.32","4,738,356.09","6,289,336.78","7,335,851.62","8,247,740.66","7,711,471.30","7,772,198.48","8,564,938.54","8,460,990.98","6,009,698.62","5,139,981.39","3,336,112.19","3,720,590.82","4,772,722.75","5,189,278.28","5,357,489.25","4,586,021.34","6,684,438.66","5,726,228.47","5,818,627.03","5,166,092.88","8,643,342.63","6,056,415.61","9,105,328.47","10,025,072.11","14,276,378.93","13,856,952.83","14,803,273.16","17,878,563.37"
外币报表折算价差,,,,,,,,,,,,,"14,828.73","14,828.73","-21,793.89","11,672.59","56,287.07","62,144.19","53,172.48","-279,439.89",,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,"250,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00",,,,,,553.43,571.83,575.25,584.06,"1,219,428.64","1,230,326.53",,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"92,415,767.00","92,907,594.05","117,995,234.18","149,944,767.33","207,879,570.11","231,454,762.20","264,290,177.81","284,580,967.59","320,646,883.59","353,522,097.33","358,146,743.13","394,278,198.73","528,106,784.66","534,306,071.31","799,523,139.47","855,632,134.27","884,886,126.41","912,059,579.94","949,982,337.37","746,626,908.39","864,559,793.97","912,593,219.69","932,514,484.88","938,133,562.85","959,419,355.88","983,041,488.38","1,017,759,914.31","1,040,041,150.71","1,054,572,047.67","1,080,646,030.88","1,126,072,356.24","1,219,354,283.03"
所有者权益(或股东权益)合计,"193,023,193.55","257,561,975.67","280,389,291.62","350,308,298.25","421,910,800.08","1,686,221,058.43","1,654,073,284.96","1,693,536,080.10","1,778,999,736.47","1,821,125,261.56","1,724,564,893.92","1,764,306,244.04","1,833,554,348.08","1,877,433,664.68","1,773,293,463.04","1,813,459,309.56","1,895,511,896.68","1,948,983,483.11","1,833,473,102.85","1,899,931,404.45","1,996,288,246.99","2,055,669,818.72","1,944,721,266.33","2,010,472,165.33","2,105,551,237.06","2,182,141,996.27","2,098,309,744.07","3,653,177,784.29","3,754,055,325.12","3,856,011,679.70","3,784,940,284.99","3,880,409,950.88"
资产总计,"374,852,427.64","402,027,611.45","581,953,378.18","715,346,051.78","874,823,589.14","2,245,182,276.46","2,121,140,262.60","2,232,453,218.48","2,297,827,505.05","2,318,232,712.62","2,219,484,480.71","2,270,922,738.10","2,328,450,731.28","2,386,430,248.16","2,505,600,482.17","2,655,143,460.94","2,844,537,752.33","2,911,345,864.07","2,746,559,932.51","2,929,165,892.63","3,160,635,114.91","3,224,939,983.74","3,273,106,914.48","3,271,969,975.75","3,406,802,569.17","3,509,280,823.54","3,449,623,107.22","5,047,299,216.31","5,371,108,312.38","5,694,209,572.77","5,814,447,315.04","6,106,922,394.97"
负债和所有者(或股东权益)合计,"374,852,427.64","402,027,611.45","581,953,378.18","715,346,051.78","874,823,589.14","2,245,182,276.46","2,121,140,262.60","2,232,453,218.48","2,297,827,505.05","2,318,232,712.62","2,219,484,480.71","2,270,922,738.10","2,328,450,731.28","2,386,430,248.16","2,505,600,482.17","2,655,143,460.94","2,844,537,752.33","2,911,345,864.07","2,746,559,932.51","2,929,165,892.63","3,160,635,114.91","3,224,939,983.74","3,273,106,914.48","3,271,969,975.75","3,406,802,569.17","3,509,280,823.54","3,449,623,107.22","5,047,299,216.31","5,371,108,312.38","5,694,209,572.77","5,814,447,315.04","6,106,922,394.97"
