科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
在建工程,"24,311,634.37","27,068,366.01","31,720,706.51","74,944,395.92","87,610,926.52","109,978,411.92","112,492,282.08","58,635,919.44","79,615,496.08","87,078,689.14","91,806,279.26","101,745,793.25","111,129,697.45","131,393,062.99","180,619,107.55","226,219,852.35","272,197,994.41","310,183,405.72","398,732,668.53","82,945,887.19","116,553,427.27","55,806,011.72","67,370,824.88","87,709,670.91","94,648,394.53","124,701,725.25","125,336,273.75","11,881,311.66","12,184,296.84","17,302,608.89","18,384,735.24","23,873,920.68","24,844,351.93","31,232,355.91","302,546,383.34","283,979,497.53","284,019,497.53","427,799,121.62","496,441,957.93","22,860,827.01","22,860,827.01","22,860,827.01","22,860,827.01"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,"13,600,000.00","21,600,000.00","21,600,000.00","21,600,000.00","32,000,000.00","32,000,000.00","62,000,000.00","62,000,000.00",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"548,041,759.91","550,622,223.75","176,180,928.89","68,689,235.17","160,106,037.91","178,141,817.48","332,628,841.36","420,030,075.52","649,339,276.54","349,719,276.54","408,069,276.54","423,724,172.37","743,724,172.37","1,097,366,717.43","1,470,210,745.05","1,278,474,838.13","1,537,971,377.30","1,617,971,377.30","1,494,963,167.33","2,009,753,395.53","2,524,753,395.53","2,938,368,360.21","3,111,535,728.44","3,064,652,115.23","3,834,152,115.23","4,226,333,782.93","4,790,225,125.17","5,431,163,154.84","6,485,365,230.95","6,508,040,848.38","6,689,932,711.81","5,965,233,105.99","6,922,185,222.87","8,120,030,382.17","8,404,995,511.73","7,161,178,571.72","7,804,232,028.43","7,105,863,640.44","7,516,919,849.42","7,449,200,752.55","7,865,829,810.07","7,265,410,374.24","7,909,606,976.79"
固定资产清理,,"53,883.33","53,883.33",,"54,091.60","53,441.60","54,544.28","2,092.00","-28,106.00","15,484.78","15,484.78",,,"4,228.22",,,,,,,,,45.00,,,,,,,,,,,,,,,,,,,,
负债合计,"1,968,649,147.12","2,273,833,202.92","3,250,562,242.59","2,233,327,744.00","2,405,578,760.63","2,832,129,965.18","3,317,958,884.67","3,019,327,229.92","3,314,114,649.06","3,876,393,860.35","4,440,513,439.66","4,369,175,607.61","5,568,298,100.78","6,184,024,981.62","5,918,220,857.17","5,580,062,333.58","5,557,883,343.21","6,119,672,940.40","7,328,387,279.64","7,685,361,857.42","8,382,737,165.47","9,660,990,612.12","10,158,043,262.34","10,390,583,897.80","11,149,558,072.59","13,449,564,295.55","14,138,428,727.85","13,605,284,172.48","15,260,643,258.52","16,583,936,412.77","17,670,726,518.71","15,913,617,135.11","17,325,984,800.06","18,213,113,391.71","18,521,216,415.03","18,185,674,471.04","19,459,832,751.20","18,878,238,804.96","19,774,268,813.50","17,005,355,956.71","15,183,455,320.22","14,531,163,624.57","14,593,775,501.06"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"139,325,472.00","139,325,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","222,320,472.00","333,480,708.00","333,480,708.00","333,480,708.00","333,480,708.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00","666,961,416.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"98,452,668.28","98,607,693.24","962,758,082.18","988,700,064.36","975,333,969.31","967,408,354.27","965,078,956.60","962,454,001.78","970,972,929.43","970,604,434.39","967,052,234.40","956,826,723.50","954,210,327.53","951,916,727.33","951,121,426.56","948,792,542.51","946,127,317.59","833,812,239.18","863,906,420.67","971,343,064.78","970,207,195.13","652,120,545.26","650,984,675.61","613,402,426.31","597,945,372.76","596,809,503.11","595,673,633.46","533,697,047.38","532,561,177.73","531,425,308.08","443,772,810.60","448,936,733.81","447,800,864.16","446,664,994.51","445,529,124.86","563,458,959.35","562,323,169.49","551,735,784.98","550,599,915.33","549,464,045.68","548,328,176.03","547,192,306.38","546,056,436.73"
无形资产,"32,973,529.96","32,805,373.52","32,637,217.08","55,494,227.64","55,341,296.21","51,094,087.59","101,493,220.89","77,212,955.85","77,115,971.28","76,904,166.71","76,688,995.14","76,473,837.57","76,258,673.00","76,044,508.43","75,828,343.86","74,463,179.29","73,960,515.72","73,457,852.15","72,978,721.92","18,086,707.80","18,012,913.49","17,951,711.90","17,858,668.79","17,748,263.88","17,663,652.90","17,579,041.92","17,494,430.94","17,409,819.96","17,325,208.98","17,240,598.00","17,155,987.02","22,055,633.69","21,921,455.69","21,787,277.69","21,653,099.69","11,853,354.12","11,768,743.14","11,684,132.16","11,599,521.18","11,514,910.20","12,809,601.14","11,345,688.24","11,261,077.26"
