科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
在建工程,"2,198,059.01","4,999,913.92","6,652,573.95","5,690,215.91","6,084,586.44","3,137,911.55","1,622,693.77","3,169,324.43","2,056,869.06","1,695,437.44","2,317,482.52","2,795,855.99","2,981,547.38","2,603,158.14","2,828,309.93","1,898,696.00","1,849,539.00","2,089,057.79","46,448,544.07","58,689,302.01","65,078,564.66","89,505,491.24","100,991,808.31","9,205,422.94","9,930,433.91","10,845,908.86","42,510,005.27","1,636,227.47","1,995,180.97","2,510,003.57","2,500,243.57","8,658,189.91","28,936,740.62","23,856,729.08","27,526,729.15","1,178,934.40","2,952,077.70","6,403,593.63","99,165,771.93","66,155,317.68","4,291,406.27","54,730,502.86","151,191,039.80","309,468,574.60","408,989,085.37","402,260,803.28"
其他非流动负债,,,,,,,,,,,,,,,,,,,"9,781,240.00","9,933,474.00","9,607,442.00","7,325,682.00","7,018,922.00","6,818,638.14","5,928,388.56","5,613,138.98","6,872,722.80","14,335,973.42","14,098,224.04","13,560,474.66","14,629,687.28",,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","9,781,240.00","9,933,474.00","9,607,442.00","7,325,682.00","7,018,922.00","18,067,432.80","20,355,083.22","1,417,619,283.64","1,251,736,545.05","1,106,672,767.89","1,098,457,946.26","1,098,820,891.33","1,106,416,821.17","1,104,932,249.05","1,116,614,066.60","763,789,892.04","768,977,595.05","13,857,754.00","32,391,078.08","23,923,497.95","22,613,590.13","19,658,672.46","13,078,990.00","12,251,000.20","761,406,988.00","750,684,290.00","750,634,220.00","840,000,000.00"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"116,071,162.14","109,430,922.31","136,936,630.20","115,897,495.70","137,788,083.93","128,529,743.28","136,652,112.07","104,987,694.49","106,726,375.31","105,350,726.16","107,609,458.96","92,207,098.66","127,444,682.99","122,353,332.48","137,995,598.37","106,738,658.26","128,042,974.54","145,532,875.93","460,830,764.81","491,260,042.19","383,291,398.58","1,029,145,925.34","938,800,070.94","1,049,034,181.83","1,064,553,692.19","2,336,960,586.26","2,201,198,984.25","2,367,008,562.09","2,164,069,550.89","2,211,395,452.88","2,250,625,000.92","2,406,092,484.51","2,213,495,114.32","2,140,129,498.54","2,122,052,933.63","2,550,224,423.68","2,684,827,629.57","1,851,113,030.20","1,885,658,165.37","1,642,453,005.26","180,208,343.58","221,722,887.38","1,053,966,295.66","1,221,150,623.76","1,094,821,424.58","1,224,259,266.88"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","152,050,812.00","429,733,729.00","429,733,729.00","429,733,729.00","429,733,729.00","429,733,729.00","429,733,729.00","429,733,729.00","594,143,795.00","594,143,795.00","594,143,795.00","594,143,795.00","1,188,287,590.00","1,188,287,590.00","1,188,287,590.00","1,188,287,590.00","1,188,287,590.00","1,188,287,590.00","1,188,287,590.00","1,188,287,590.00","1,188,287,590.00","1,188,287,590.00","1,301,923,953.00","1,301,923,953.00","1,301,923,953.00","1,301,923,953.00","1,301,923,953.00","1,301,923,953.00","1,301,923,953.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"26,901,031.87","27,433,621.87","27,832,851.87","27,691,071.87","27,408,931.87","27,174,431.87","26,914,321.87","26,902,331.87","27,193,841.87","27,240,561.87","27,335,111.87","27,455,961.87","27,376,781.87","27,037,591.87","27,204,521.87","27,172,150.87","27,219,375.87","27,111,954.87","12,550,230.92",,,"705,672.00",,"14,848,408.96","19,043,236.96","2,113,862,366.91","2,090,030,132.40","2,104,496,089.34","2,086,458,853.97","1,492,315,058.97","1,484,710,101.46","1,480,533,096.46","1,480,533,096.46","1,480,570,215.82","1,480,533,096.46","1,564,781,962.69","1,564,781,962.69","1,564,781,962.69","1,563,324,609.95","3,299,172,071.67","3,305,781,799.00","3,272,785,070.98","3,272,785,070.98","3,276,811,865.40","3,276,811,865.40","3,276,811,865.40"
无形资产,"12,471,462.82","12,394,950.79","12,318,438.76","12,241,926.73","12,165,414.70","12,088,902.67","12,012,390.64","11,935,878.61","11,859,366.58","11,782,854.55","11,706,342.52","11,629,830.49","11,553,318.46","11,476,806.43","11,400,294.40","11,323,782.37","11,247,270.34","11,170,758.31","77,030,426.74","67,989,650.70","67,530,419.86","67,169,117.34","66,675,407.43","52,668,429.66","51,978,674.76","57,256,344.99","57,161,555.25","111,284,761.64","113,186,650.19","105,330,246.59","107,380,288.76","107,997,027.98","111,967,826.05","112,444,050.03","121,546,583.04","280,131,579.64","273,165,068.12","285,419,610.23","278,873,536.54","535,172,782.37","463,561,464.21","449,183,482.98","449,538,019.40","726,571,110.40","792,964,823.51","802,683,674.68"
盈余公积,"16,036,047.10","16,036,047.10","16,036,047.10","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50","15,769,893.50",,"26,070,730.92","26,070,730.92","26,143,446.46","26,143,446.46","40,245,259.63","40,245,259.63","40,245,259.63","40,245,259.63","59,503,945.06","59,503,945.06","59,503,945.06","59,503,945.06","77,696,311.33","77,696,311.33","77,696,311.33","77,696,311.33","104,252,623.60","104,252,623.60","104,252,623.60","104,252,623.60","117,366,558.71","117,366,558.71","117,366,558.71","117,366,558.71","143,936,903.47","143,936,903.47","143,936,903.47"
