科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
资本公积,,"22,502,340.95","22,502,340.95","22,502,340.95","22,502,340.95","752,410,927.69","752,410,927.69","688,408,927.69","688,408,927.69","688,408,927.69","688,408,927.69","688,408,927.69","688,408,927.69","688,408,927.69","688,408,927.69","688,408,927.69","688,408,927.69","688,408,927.69","938,656,556.23","717,836,006.23","717,836,006.23","717,836,006.23","717,836,006.23","276,194,906.23","276,194,906.23","276,194,906.23","276,194,906.23","276,194,906.23","276,194,906.23","276,194,906.23","640,482,035.14","640,482,035.14","640,482,035.14","640,482,035.14","640,482,035.14","640,482,035.14","631,628,111.61","630,466,559.51","630,466,559.51"
无形资产,"2,904,848.53","5,836,278.31","5,687,667.85","36,367,697.16","36,176,516.16","35,433,910.39","35,479,354.02","35,286,324.15","35,268,294.30","35,070,777.23","34,873,260.17","34,675,743.11","34,478,226.05","34,280,709.04","34,083,191.98","33,927,460.53","33,753,233.06","33,625,411.01","33,427,701.48","33,259,541.92","33,059,366.77","32,841,771.66","32,641,898.94","32,441,361.41","32,244,370.03","100,190,596.87","99,643,237.16","105,821,972.06","105,241,654.92","105,193,109.76","104,584,217.46","103,974,860.27","103,365,609.61","107,292,439.37","109,554,656.52","109,243,470.41","108,728,689.19","108,021,971.27","107,173,032.09"
盈余公积,"5,784,265.94","1,083,198.91","5,984,571.44","5,984,571.44","5,984,571.44","13,417,451.24","13,417,451.24","13,417,451.24","13,417,451.24","23,736,248.69","23,736,248.69","23,736,248.69","23,736,248.69","34,000,196.53","34,000,196.53","34,000,196.53","34,000,196.53","42,090,400.28","42,090,400.28","42,090,400.28","42,090,400.28","48,815,646.50","48,815,646.50","48,815,646.50","48,815,646.50","56,407,167.17","56,407,167.17","56,407,167.17","56,407,167.17","67,664,212.96","67,664,212.96","67,664,212.96","67,664,212.96","77,723,051.88","77,723,051.88","77,723,051.88","77,723,051.88","88,381,158.58","88,381,158.58"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"37,947,606.74","9,748,790.14","53,843,740.29","81,261,355.29","100,523,577.87","120,757,061.11","145,178,630.91","152,628,763.67","180,374,891.52","192,292,238.19","217,717,208.09","189,813,887.68","215,580,497.21","232,931,443.93","251,371,754.48","133,477,805.05","148,731,730.25","161,540,486.60","170,527,830.10","119,431,992.74","135,263,505.22","148,778,278.28","154,282,942.58","128,039,857.98","144,027,446.00","164,796,308.79","149,730,626.56","178,122,407.46","203,854,495.17","221,603,216.38","240,712,673.11","172,587,837.13","196,961,675.78","188,969,713.56","200,452,624.57","159,621,814.43","171,989,833.02","159,880,848.68","171,682,298.66"
长期待摊费用,,,,,,,,,,,,,,,"64,376.53","83,022.27","86,295.30",,,,,"1,228,928.01","1,227,988.64","1,194,749.27","1,161,509.90","1,128,270.53","1,095,031.16","1,061,791.79","1,028,552.42","1,170,826.53","1,106,614.20","1,042,401.87","978,189.54","2,444,063.21","2,286,145.79","2,138,552.83","2,011,608.46","1,884,664.09","1,757,719.72"
少数股东权益,,,,,,,,,,,,,"3,749,637.05","3,768,956.81","3,786,266.33","3,799,236.39","3,798,649.34","3,811,682.37","6,791,490.27","6,547,345.34","6,354,280.53","6,322,784.14","6,138,198.41","5,813,356.87","5,072,113.46","2,847,160.87","504,338.13","90,591,925.47","132,678,952.48","139,553,812.69","132,163,407.42","127,210,124.88","120,911,970.27","272,353,557.29","268,556,644.58","256,237,433.84","215,120,324.58","194,494,013.81","181,112,333.24"
递延所得税资产,"982,663.25","1,768,914.65","1,073,813.57","1,125,009.22","1,125,009.22","841,773.24","841,773.24","698,575.44","698,575.44","1,030,129.87","1,030,129.87","783,750.35","783,750.35","3,423,857.11","3,423,857.11","3,368,105.73","3,368,105.73","3,249,012.53","3,259,361.91","3,070,828.30","3,067,300.19","2,455,135.50","2,522,903.03","2,388,523.31","2,222,997.13","3,200,039.31","2,962,304.11","3,044,173.68","3,005,091.03","2,927,183.25","2,879,313.00","3,456,508.39","3,404,849.10","4,442,896.06","4,440,919.31","4,754,251.02","4,697,678.89","3,706,909.66","3,868,026.93"
