科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,633,958.40","82,633,958.40","82,633,958.40","82,633,958.40","63,150,561.60","63,150,561.60","59,249,887.20","59,249,887.20","40,930,562.40"
商誉,,,,,,,"27,940,712.33","27,940,712.33","42,992,074.82","73,736,780.79","100,109,089.38","100,109,089.38","54,934,068.22","72,820,022.19","72,820,022.19","100,110,893.05","100,752,180.13","100,752,180.13","100,752,180.13","100,752,180.13","169,752,180.13","169,752,180.13","169,752,180.13","169,752,180.13","169,752,180.13","245,977,122.67","245,977,122.67","299,205,786.66","294,102,602.88","294,102,602.88","276,216,648.91","276,216,648.91","276,216,648.91","276,216,648.91","276,216,648.91","276,216,648.91","276,216,648.91","276,216,648.91","276,216,648.91"
未分配利润,"54,339,534.89","112,038,259.65","175,894,223.94","217,059,266.37","242,507,425.51","323,722,579.61","251,916,630.18","292,352,568.49","333,127,695.98","394,300,127.78","404,198,732.43","432,044,639.13","348,157,883.24","334,910,401.50","312,019,024.68","355,172,242.40","456,042,759.58","481,138,972.82","364,565,670.27","464,499,406.24","538,884,920.75","583,477,062.65","467,500,899.72","545,456,220.19","657,386,918.42","707,730,535.76","591,206,192.40","679,857,822.17","885,779,463.75","657,968,080.58","799,133,080.33","976,034,021.78","1,246,835,643.76","1,339,551,049.57","1,368,063,386.85","1,615,500,987.25","1,951,568,860.70","1,923,104,241.11","2,085,842,732.86"
长期待摊费用,"5,929,648.33","4,766,634.88","3,300,209.75","3,098,987.96","3,733,662.39","3,680,358.98","5,313,995.47","9,567,292.15","10,766,198.87","12,877,563.28","14,372,504.18","15,104,021.55","13,453,402.56","11,672,484.64","10,248,607.18","9,682,794.30","10,344,776.06","9,396,263.55","7,897,378.06","6,982,625.50","20,462,083.36","18,928,208.74","18,925,887.74","19,003,500.46","19,194,254.21","18,164,344.93","16,749,630.43","15,314,698.07","19,786,678.34","21,230,956.37","34,961,021.57","50,422,489.66","79,209,704.85","118,785,363.46","189,774,150.02","275,375,137.66","442,425,986.75","452,939,665.85","478,359,800.53"
少数股东权益,"17,453,819.50","4,969,470.03",,,,,"10,205,798.24","8,415,443.44","23,912,695.67","1,971,969.73","15,960,499.55","18,020,873.52","18,012,336.12","13,197,952.64","14,951,064.04","16,090,898.10","24,068,389.37","30,247,031.23","36,317,883.55","42,074,915.72","64,237,049.34","73,129,513.83","43,885,254.26","44,632,072.54","61,389,854.39","78,887,595.58","58,471,988.32","75,009,533.08","94,273,086.81","76,688,259.88","77,431,187.40","61,351,364.89","79,159,992.99","84,720,607.22","84,766,499.77","94,908,378.67","120,221,866.20","103,271,130.50","46,389,535.38"
递延所得税资产,"647,196.50","1,060,638.45","4,470,038.75","7,949,786.54","25,933,238.80","25,650,827.00","10,659,749.93","10,702,636.79","47,311,417.18","44,336,834.22","22,037,691.86","18,816,529.64","38,822,712.44","37,938,741.30","19,441,959.23","20,628,895.45","90,895,865.82","75,660,353.38","36,424,678.61","32,881,783.49","120,907,909.66","104,343,318.41","64,704,200.37","58,538,397.56","158,986,855.16","154,091,486.02","102,145,876.64","99,047,168.73","238,613,306.63","222,108,399.63","161,909,732.87","165,729,064.92","411,056,898.58","383,187,603.20","265,999,656.61","262,837,707.90","623,221,058.48","640,570,071.15","589,967,838.67"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,"1,080.00","5,492.66","5,548.60","2,593.78",,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,,,,"50,000,000.00","11,300,000.00","34,600,000.00","60,000,000.00","37,900,960.00",,"27,000,000.00","10,000,000.00","10,000,000.00","11,250,000.00","10,000,000.00","10,208,528.67","210,000,000.00","110,000,000.00","300,200,000.00","202,930,403.80","10,435,605.86"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"147,612,149.75","140,267,871.11","137,087,798.39","139,036,956.97","162,764,454.53","191,517,076.15","273,880,390.17","284,720,504.01","397,953,256.33","431,812,575.17","441,254,086.52","442,575,322.77","407,397,608.31","419,055,862.57","396,848,439.95","407,948,619.68","479,167,493.32","461,341,460.26","442,082,682.56","458,247,613.08","660,168,712.20","638,920,565.72","650,178,278.55","675,401,027.98","843,775,308.71","942,179,105.27","872,473,504.45","901,656,103.12","1,182,590,091.19","1,179,934,614.41","1,060,621,186.51","1,041,721,135.26","1,637,827,636.53","1,661,487,664.33","1,718,935,737.59","1,803,737,754.85","2,516,086,261.67","2,541,847,678.51","2,689,690,930.40"
