科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
在建工程,"477,000.00","47,217,241.72","85,642,750.12","311,157.04","487,205.84","517,205.84","17,774,299.86","24,889,299.86","7,487,205.84","7,487,205.84","10,432,217.16","10,432,217.16","1,463,259.66","1,463,259.66","1,463,259.66","3,302,799.66","18,840,184.13","22,219,679.50","26,398,624.85","871,161.40",,"995,452.99","995,452.99","1,475,430.69","102,564.10","307,692.30",,,,,"98,000.00","181,503.44","4,890,229.27","4,989,168.56","5,028,003.51","5,028,003.51",,,,,,
其他非流动负债,"2,740,000.00","2,940,000.00","2,940,000.00","7,960,000.00","24,280,000.00","24,280,000.00","14,280,000.00","29,280,000.00","15,000,000.00","13,750,000.00","12,500,000.00","11,250,000.00","10,000,000.00","10,000,000.00","2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00","3,930,000.00","3,930,000.00","6,930,000.00","11,230,000.00","11,230,000.00",,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"2,740,000.00","2,940,000.00","52,940,000.00","97,960,000.00","24,280,000.00","24,280,000.00","14,280,000.00","29,280,000.00","15,000,000.00","13,750,000.00","12,500,000.00","11,250,000.00","10,000,000.00","10,000,000.00","2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00","3,930,000.00","3,930,000.00","6,930,000.00","11,230,000.00","11,230,000.00","7,300,000.00","7,300,000.00","8,500,000.00","5,343,750.00","5,707,125.00","5,070,500.00","4,983,875.00","7,397,250.00","5,810,625.00","7,224,000.00","3,037,375.00","25,303,051.71","24,016,426.71","23,929,801.71","22,343,176.71","1,904,250.00","1,817,625.00"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"525,115,499.59","604,401,173.61","484,208,224.77","515,231,169.22","452,655,639.63","344,325,090.56","342,990,159.09","360,554,164.35","343,407,189.71","350,878,890.87","364,755,338.19","388,347,299.90","334,695,226.74","357,285,487.97","291,656,516.18","369,580,769.27","410,417,069.84","379,770,868.46","495,282,241.52","504,333,302.69","476,911,894.17","493,418,237.74","493,459,158.50","505,315,121.72","422,727,444.58","406,633,001.74","339,401,958.22","342,923,351.28","344,079,065.77","306,538,775.19","317,750,626.65","368,266,201.52","363,747,973.84","428,777,302.27","381,425,974.46","354,073,509.18","324,053,358.00","301,838,375.78","321,434,704.17","304,329,991.56","222,286,640.98","264,776,275.40"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","192,000,000.00","192,000,000.00","192,000,000.00","192,000,000.00","192,000,000.00","192,000,000.00","192,000,000.00","192,000,000.00","197,925,000.00","198,325,000.00","198,325,000.00","198,325,000.00","198,200,000.00","198,200,000.00","198,200,000.00","594,600,000.00","594,282,750.00","594,282,750.00","594,282,750.00","594,282,750.00","594,282,750.00","588,615,750.00","588,615,750.00","588,615,750.00","588,615,750.00","588,615,750.00","588,615,750.00","588,615,750.00","588,615,750.00","588,615,750.00","588,615,750.00","588,615,750.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"216,707.23","216,707.23","222,006.76","216,707.23","251,679.73","867,141,679.73","867,141,679.73","867,141,679.73","871,484,679.73","871,484,679.73","799,484,679.73","799,484,679.73","799,484,679.73","799,484,679.73","799,484,679.73","799,484,679.73","799,484,679.73","799,484,679.73","822,317,629.73","825,092,663.06","828,426,179.73","830,001,954.72","831,111,379.71","832,581,854.70","821,010,099.33","425,178,683.41","437,213,819.54","437,698,205.19","443,546,781.56","443,546,781.56","443,546,781.56","426,727,206.53","433,545,666.45","433,545,666.45","383,661,365.98","387,857,165.98","424,574,892.85","424,574,892.85","424,574,892.85","424,570,892.85","424,574,892.85","424,574,892.85"
无形资产,"14,982,191.68","14,406,637.60","14,118,860.56","14,266,994.85","39,496,171.70","39,197,559.61","39,349,839.72","39,334,067.88","39,147,892.00","39,969,096.79","39,608,674.32","39,231,418.99","38,894,549.95","39,301,733.33","38,870,383.97","38,621,622.98","38,090,926.15","41,666,307.77","41,092,831.12","40,502,021.14","40,005,827.85","39,422,217.87","38,818,207.89","38,381,110.50","38,055,753.86","39,720,205.64","39,969,283.94","39,392,526.59","48,472,144.09","47,232,622.98","45,946,421.07","44,660,508.71","43,407,382.87","42,155,711.97","40,949,583.69","40,166,790.13","38,480,658.42","37,499,464.36","36,527,542.25","35,525,218.49","34,527,986.12","33,606,520.85"
盈余公积,"20,444,458.16","29,377,188.49","34,126,643.19","34,126,643.19","39,609,423.23","39,609,423.23","43,497,555.17","43,497,555.17","48,878,387.17","48,878,387.17","51,356,280.23","51,356,280.23","52,314,112.19","52,314,112.19","53,923,376.22","53,923,376.22","53,561,306.07","53,561,306.07","55,744,700.64","55,744,700.64","58,600,050.00","58,600,050.00","61,115,645.34","61,115,645.34","63,320,557.62","63,320,557.62","63,320,557.62","63,320,557.62","63,320,557.62","63,320,557.62","63,320,557.62","63,320,557.62","65,461,739.99","65,461,739.99","65,461,739.99","65,461,739.99","65,695,541.63","65,695,541.63","65,695,541.63","65,611,582.24","68,435,666.57","68,435,666.57"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,278,792.06","1,508,012.44","1,564,586.46",,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,"3,880,000.00","11,640,000.00","5,667,000.00","5,667,000.00","5,667,000.00","5,667,000.00","5,667,000.00",,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,"111,267,258.28","111,267,258.28","111,267,258.28","95,540,423.71","95,540,423.71","95,540,423.71","95,540,423.71","75,109,811.85","75,109,811.85","75,109,811.85","75,109,811.85","26,136,223.65","26,136,223.65","26,136,223.65","26,136,223.65","1,882,171.79","1,882,171.79"
