科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
在建工程,"8,576,980.11","9,569,068.55","10,851,811.66","2,536,266.98","3,281,342.97","3,706,982.11","4,548,608.74","3,356,596.56","4,943,649.26","5,824,191.11","5,893,707.79","6,134,983.52","9,418,499.53","10,874,986.58","13,687,107.84","12,491,503.12","17,841,449.77","21,753,026.88","25,256,882.77","9,904,551.33","10,479,621.00","12,305,054.97","15,842,524.74","13,435,552.45","28,685,115.92","40,626,017.43","70,370,568.07","192,450,644.14","209,407,480.06","87,957,607.01","90,097,591.07","20,526,523.73","38,705,848.89","56,409,742.50","108,596,249.39","141,240,629.57","217,757,371.66","192,809,501.05","217,388,706.78","232,570,891.53","270,413,748.57","316,580,246.87","367,031,214.23"
其他非流动负债,"713,873.39","26,158.28",,,,,,,,,,,,,,,,,,"8,500,000.00","8,500,000.00","8,500,000.00","8,500,000.00","22,955,000.00","22,954,400.00","22,964,659.00","25,896,659.00","33,460,959.60","33,460,959.60","33,460,959.60","38,260,959.60","65,497,521.52","22,132,121.80","22,182,121.80",,,,,,,,,
工程物资,"540,269.55","309,469.55","309,469.55","309,469.55","309,469.55","309,469.55","309,469.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"64,774,463.71","66,219,313.04","54,325,590.32","500,000.00","500,000.00",,"34,000,000.00","14,000,000.00","14,000,000.00","34,000,000.00","34,000,000.00","34,158,341.05","34,158,341.05","34,158,341.05","34,158,341.05","20,084,954.24","20,084,954.24","84,954.24","10,084,954.24","18,574,486.66","18,574,486.66","18,574,486.66","18,574,486.66","44,939,081.94","44,938,481.94","44,948,740.94","25,980,740.94","33,522,096.31","58,522,096.31","58,522,096.31","62,822,096.31","65,620,401.76","65,195,780.56","65,345,780.56","413,059,226.29","449,181,445.76","448,504,658.93","449,632,872.12","450,552,971.17","438,055,066.32","437,449,917.01","447,291,401.38","501,948,007.61"
固定资产清理,"-1,242.26",-926.75,-926.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"710,598,509.91","680,606,716.66","601,746,779.92","554,982,813.51","524,510,811.20","538,656,776.68","548,734,496.51","486,484,811.25","492,349,472.00","519,684,080.23","503,745,779.81","505,788,766.06","552,725,258.38","543,665,350.47","553,259,056.56","595,837,706.60","666,531,779.08","642,196,339.51","651,456,026.30","712,372,421.13","752,773,409.69","755,574,663.72","834,164,237.95","1,095,060,268.72","1,250,877,200.99","1,241,786,526.12","1,057,483,352.79","1,006,655,528.21","1,176,008,395.83","981,917,566.35","945,454,189.30","974,399,649.21","1,066,452,416.12","1,010,404,555.14","1,582,509,383.14","1,612,413,984.11","1,717,834,239.30","1,583,538,116.58","1,606,924,981.89","1,790,254,846.35","1,733,306,506.20","1,838,167,176.87","2,018,159,934.93"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","314,176,000.00","341,130,177.00","341,130,177.00","341,130,177.00","341,130,177.00","341,130,177.00","341,130,177.00","341,130,177.00","341,130,177.00","341,130,177.00","394,344,310.00","394,344,310.00","788,688,620.00","788,688,620.00","788,688,620.00","788,688,620.00","788,688,620.00","788,688,620.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"192,000,677.28","188,961,697.28","188,961,697.28","199,027,230.22","198,522,403.22","199,027,230.22","199,027,230.22","198,967,847.85","198,967,847.85","198,967,847.85","198,967,847.85","199,865,113.80","199,865,113.80","199,865,113.80","199,865,113.80","199,449,255.21","199,449,255.21","199,449,255.21","201,406,867.58","199,389,938.95","203,112,550.84","199,389,938.95","199,389,938.95","199,444,312.19","198,522,403.22","199,444,312.19","853,420,157.70","853,293,521.87","853,293,521.87","853,293,521.87","853,293,521.87","846,020,026.63","846,020,026.63","846,020,026.63","796,661,479.95","1,809,262,030.95","1,809,262,030.95","1,414,917,720.95","1,414,917,720.95","1,414,908,107.42","1,414,908,107.42","1,418,840,307.42","1,418,840,307.42"
