科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
商誉,"751,365.04","104,887.02","751,468.16","751,468.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"120,490,944.06","147,093,444.81","170,569,993.22","191,359,969.09","166,925,376.40","165,463,200.21","137,799,923.04","153,722,801.97","124,486,211.80","109,155,050.54","97,533,624.17","147,810,624.61","166,820,190.35","204,198,599.26","241,431,176.15","345,304,680.38","325,908,559.15","337,749,471.30","188,666,882.30","125,269,974.81","92,538,280.51",,"14,602,500.00","-43,973,429.33","-152,879,382.15","-192,791,798.20","-140,931,433.86","-97,847,580.06","-90,191,327.05","-131,965,615.35","-224,869,171.46","-306,672,978.77","-405,718,640.82","-336,469,733.82","-251,183,762.46","-155,754,456.38","-251,928,799.21","-327,787,722.36","-434,473,975.57","-541,403,687.99"
长期待摊费用,"24,566,368.15","24,201,163.42","29,153,020.21","28,724,335.69","31,608,071.52","31,249,240.70","31,456,812.30","31,612,743.39","31,148,525.45","31,680,427.34","31,510,209.43","30,953,505.13","32,153,823.13","35,738,661.87","35,107,630.41","34,542,823.25","43,946,758.16","43,880,075.37","42,885,795.05","44,206,433.36","82,218,230.01","83,248,160.47","81,850,475.86","81,230,217.83","80,703,957.91","87,181,797.51","89,259,145.19","88,843,073.38","88,678,201.02","90,645,141.59","89,586,896.18","92,301,311.96","96,874,682.14","95,341,763.44","94,663,435.88","93,057,711.68","103,790,061.53","102,237,838.62","101,443,043.77","100,542,188.70"
少数股东权益,"10,619,590.17","10,725,445.90","11,240,858.81","11,689,599.60","10,945,426.93","10,723,141.29","10,641,818.65","10,569,994.50","10,532,390.00","9,872,445.73","11,408,174.82","13,588,035.92","15,467,573.17","16,851,207.06",,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产,"266,900.96","214,432.38","334,871.01","391,291.77","14,550.17","7,913.96","33,480.67","25,827.24","57,407.38","49,087.20","26,644.01","37,778.33","27,285.59","2,095.77","54,012.61","32,724.19","43,601.46","26,153.59","39,009.20","21,941.35","26,194.30","3,723.09","57,763.70","41,910.22","126,583.24","150,842.07","120,143.19","112,050.78","115,214.91","189,382.83","197,971.32","191,692.80","141,754.23","140,092.58","159,586.25","144,424.54","162,468.82","151,396.68","198,614.95","144,056.77"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,769,268.88","47,135,935.50","61,068,943.56","73,851,584.39","37,135,330.84","60,582,990.63","44,642,610.85","110,975,044.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"427,493,981.01","432,414,988.59","448,285,952.65","460,281,433.70","492,486,722.33","512,655,987.56","515,717,572.70","528,317,928.20","562,558,784.59","576,520,596.97","587,331,996.55","622,442,633.52","676,285,683.44","681,855,601.27","677,505,073.41","676,922,653.74","719,721,591.17","719,844,624.23","726,069,625.87","746,933,481.48","876,085,924.07","873,241,946.59","899,898,440.80","946,319,918.94","983,807,536.47","1,024,409,931.66","1,021,792,949.71","1,117,584,565.26","1,180,253,789.71","1,205,343,943.60","1,207,425,739.29","1,229,896,232.87","1,305,079,173.02","1,347,352,158.52","1,375,786,533.07","1,415,415,925.23","1,506,994,199.14","1,531,608,541.13","1,518,145,611.56","1,607,887,217.96"
所有者权益(或股东权益)合计,"306,384,391.79","332,446,270.25","625,777,209.59","647,015,926.25","626,176,079.33","624,491,617.50","596,747,017.69","612,598,072.47","583,323,877.80","567,332,772.27","557,247,074.99","609,703,936.53","632,713,606.96","671,475,649.76","691,857,019.14","795,730,523.37","1,605,855,809.54","1,617,696,721.69","1,468,614,132.69","1,405,217,225.20","1,372,485,530.90","1,333,479,296.46","1,294,549,750.39","1,235,973,821.06","1,129,342,265.24","1,089,429,849.19","1,141,290,213.53","1,184,374,067.33","1,192,190,833.36","1,150,416,545.06","1,057,512,988.95","975,709,181.64","876,663,519.59","945,912,426.59","1,031,198,397.95","1,126,627,704.03","1,030,453,361.20","954,594,438.05","847,908,184.84","740,978,472.42"
