科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
非流动负债合计,"211,563,131.58","61,822,120.88","62,414,931.19","8,067,793.42","7,910,389.32","8,052,209.77","8,021,506.01","12,133,798.12","12,988,473.13","13,322,250.25","14,483,084.61","15,881,731.83","17,077,970.21","17,998,159.82","18,839,264.55","21,637,173.30","22,628,613.50","22,284,218.05","22,037,148.80","22,799,214.58","23,103,607.94","23,338,129.55","23,427,406.86","24,232,609.77","24,412,520.83","25,909,144.81","73,350,096.98","264,017,562.01","250,970,093.39","484,999,994.23","273,752,619.61","396,577,436.60","394,718,106.38","761,188,638.58","508,872,992.77","455,277,899.18","446,980,187.75","451,947,316.24","433,164,935.87","423,217,994.33","488,675,933.26","71,261,322.33","167,714,977.77","178,294,415.42","66,636,148.28"
固定资产清理,,,,,,,,,,,,,,,,,"-21,600.00",,,,"3,143.25",,,,,,"426,979.55",,,,,,"2,905,894.73","2,950,074.31","4,477,015.23",,,,,,,,,,
负债合计,"369,414,657.80","343,660,586.24","383,838,293.41","476,091,097.60","562,563,076.29","406,028,013.30","482,556,907.57","424,262,853.40","466,425,940.76","432,197,811.51","501,564,929.07","465,709,523.33","493,715,216.77","506,132,233.87","481,331,068.50","338,482,604.81","352,506,405.39","338,528,158.39","304,902,855.41","240,729,824.28","355,364,040.28","315,417,483.77","284,703,590.65","320,040,040.74","275,718,814.18","353,424,829.15","335,826,857.51","765,376,619.64","733,008,847.36","1,012,927,470.40","1,139,234,589.08","1,957,270,119.11","1,676,444,308.52","2,046,231,374.46","2,071,470,123.91","2,020,708,784.47","1,902,329,000.91","1,815,023,481.91","2,155,184,966.64","2,121,199,537.68","2,093,081,244.30","2,380,497,410.79","2,665,449,370.52","2,850,788,548.60","2,897,291,139.96"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","312,010,107.00","312,010,107.00","312,010,107.00","312,010,107.00","365,396,288.00","365,396,288.00","730,792,576.00","730,792,576.00","730,792,576.00","730,792,576.00","730,792,576.00","730,792,576.00","730,792,576.00","730,792,576.00","730,792,576.00","730,792,576.00","730,792,576.00","730,792,576.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"213,292,017.07","213,292,017.07","213,292,017.07","206,280,679.03","206,280,769.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","206,280,679.03","205,520,641.58","207,566,703.83","207,566,703.83","207,699,503.83","207,566,703.83","525,059,571.21","525,059,571.21","525,284,649.05","525,351,049.05","934,999,041.47","934,999,041.47","570,754,653.47","569,602,653.47","569,602,653.47","569,602,653.47","569,602,653.47","592,231,316.54","337,183,745.28","337,183,745.28","337,183,745.28","337,183,745.28","335,969,397.52","335,969,397.52"
无形资产,"36,740,565.53","36,540,492.92","36,320,254.31","36,313,735.06","36,074,963.11","35,854,041.16","35,614,969.39","35,375,597.18","35,136,900.07","34,897,153.12","34,658,456.17","34,418,545.55","34,180,083.32","33,940,571.09","33,702,108.86","33,474,602.27","33,254,382.38","33,053,276.49","33,123,771.70","32,894,524.01","32,667,558.32","32,470,401.10","32,247,493.00","32,021,153.22","31,795,663.04","32,177,554.47","31,936,770.90","212,022,034.31","206,715,506.68","306,477,446.82","377,269,572.04","387,837,438.23","379,244,048.42","369,801,018.66","361,144,362.82","352,503,120.04","343,872,623.09","335,513,521.52","313,951,256.10","314,377,585.10","306,220,131.89","299,727,054.76","296,263,731.74","275,648,466.98","272,268,577.35"
盈余公积,"70,456,781.86","70,456,781.86","70,456,781.86","68,252,324.06","68,252,324.06","68,252,324.06","68,252,324.06","69,818,482.27","69,818,482.27","69,818,482.27","69,818,482.27","70,872,792.02","70,872,792.02","70,872,792.02","70,872,792.02","70,872,792.02","70,872,792.02","70,872,792.02","70,872,792.02","73,610,263.24","73,610,263.24","73,610,263.24","73,610,263.24","74,469,571.04","74,469,571.04","74,469,571.04","74,469,571.04","76,250,864.17","76,250,864.17","76,250,864.17","76,250,864.17","76,502,553.59","76,502,553.59","76,502,553.59","76,502,553.59","76,502,553.59","76,502,553.59","76,502,553.59","76,502,553.59","80,480,042.85","80,480,042.85","80,480,042.85","80,480,042.85","87,661,465.87","87,661,465.87"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
